City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Artvin,TR,41.1667,41.8333,48.56,55,90,7.54,Clouds
352,Mitsamiouli,KM,-11.3847,43.2844,80.74,73,5,5.97,Clear
353,Whitehorse,CA,60.7161,-135.0538,32.02,46,75,10.36,Clouds
354,Sao Filipe,CV,14.8961,-24.4956,70.79,77,23,3.36,Clouds
355,Tenenkou,ML,14.4572,-4.9169,78.87,14,99,10.09,Clouds
356,Neiafu,TO,-18.65,-173.9833,86.68,74,40,8.05,Clouds
357,Tucurui,BR,-3.7661,-49.6725,73.87,97,100,3.22,Clouds
358,Baghdad,IQ,33.3406,44.4009,60.71,39,100,6.91,Clouds
359,Luderitz,NA,-26.6481,15.1594,68.95,48,0,7.99,Clear
360,Minna,NG,9.6139,6.5569,76.71,78,20,5.75,Thunderstorm
361,Homer,US,59.6425,-151.5483,42.69,68,100,4.61,Clouds
362,Yatou,CN,37.15,122.3833,63.84,35,100,8.79,Clouds
363,Imatra,FI,61.1719,28.7524,39.58,73,88,2.51,Clouds
364,Pundaguitan,PH,6.3711,126.1689,82.6,73,92,7.74,Clouds
365,Souillac,MU,-20.5167,57.5167,73.78,94,75,1.14,Thunderstorm
366,Nikel,RU,69.4128,30.222,37.58,97,100,6.87,Clouds
367,Guerrero Negro,MX,27.9769,-114.0611,59.43,85,73,16.89,Clouds
368,Jinchang,CN,38.4953,102.1739,48.96,28,0,6.78,Clear
369,Chizhou,CN,30.6578,117.4831,63.88,68,91,5.19,Clouds
370,Egvekinot,RU,66.3167,-179.1667,26.49,96,100,10.38,Snow
371,Roald,NO,62.5833,6.1333,45.75,93,100,3.44,Clouds
372,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,13.8,Clouds
373,Tiberias,IL,32.7922,35.5312,81.9,18,95,7.85,Clouds
374,Tuban,ID,-6.8976,112.0649,86.36,69,59,4.12,Clouds
375,Ajdabiya,LY,30.7554,20.2263,59.25,78,14,10.8,Clouds
376,Almaznyy,RU,48.0448,40.045,51.44,70,100,10.98,Clouds
377,Namibe,AO,-15.1961,12.1522,72.32,77,55,1.03,Clouds
378,Noyabrsk,RU,63.1994,75.4507,23.02,82,48,9.26,Clouds
379,Palmer,US,42.1584,-72.3287,40.37,68,20,6.91,Clouds
380,Bikin,RU,46.8161,134.26,49.64,29,16,9.46,Clouds
381,Cinisi,IT,38.1562,13.1073,52.81,81,40,2.3,Clouds
